2,Exp~*rimental Hip Hop,Hardcore Hip Hop,,,,,,,
3,N0ise Rock,Industrial Rock,Post-Industrial,,,,,,
7,Industrial Hip Hop,Exp~*rimental Hip Hop,Abstract Hip Hop,Hardcore Hip Hop,Electro-Industrial,Post-Industrial,Electronic,,
8,Industrial Hip Hop,Exp~*rimental Hip Hop,Glitch Hop,Hardcore Hip Hop,Electro House,Hip House,EDM,Electronic,
2,Contemporary Country,C0untry Rock,,,,,,,
4,Abstract Hip Hop,Conscious Hip Hop,East Coast Hip Hop,Exp~*rimental Hip Hop,,,,,
7,Trip Hop,Downtempo,Instrumental Hip Hop,Exp~*rimental Hip Hop,Plunderphonics,Experimental,Electronic,,
4,Instrumental Hip Hop,Exp~*rimental Hip Hop,Plunderphonics,Experimental,,,,,
3,F~*nky House,EDM,Dance-Pop,,,,,,
6,Hip House,Future House,EDM,P0p Rap,Hip Hop,Film Soundtrack,,,
4,Singer/Songwriter,F0lk Rock,Piano Rock,Pop Rock,,,,,
4,Neo-Soul,R&B,J~*zz Rap,Hip Hop,,,,,
3,Yacht Rock,Pop Rock,Blue-Eyed S0ul,,,,,,
3,West Coast Hip Hop,G-F~*nk,Film Soundtrack,,,,,,
3,Punk Bl~*es,Punk Rock,Garage Rock,,,,,,
3,Blue-Eyed S0ul,Pop Rock,New Wave,,,,,,
2,P0p Rap,Hip Hop,,,,,,,
2,P0p Rap,Hip Hop,,,,,,,
5,East Coast Hip Hop,Boom Bap,Hardcore Hip Hop,J~*zz Rap,Film Soundtrack,,,,
2,S0ul Jazz,Vocal Jazz,,,,,,,
1,F~*nk Rock,,,,,,,,
2,P0p Punk,Punk Rock,,,,,,,
3,P0p Punk,Emo-P0p,Punk Rock,,,,,,
3,P0p Punk,Punk Rock,Pop Rock,,,,,,
3,P0p Rap,Trap (Hip Hop),Contemporary R&B,,,,,,
4,Dream P0p,Alt Rock,Neo-Psychedelia,Amb~*ent Pop,,,,,
3,P0p Rap,Southern Hip Hop,Film Soundtrack,,,,,,
3,P0p Rap,Hip Hop,Dance-Pop,,,,,,
5,P0p Rap,Hip Hop,Electropop,Dance-Pop,Electronic,,,,
5,P0p Rap,Hip Hop,Electropop,Electronic,Pop,,,,
3,Dance-Pop,P0p Rap,Hip Hop,,,,,,
2,Nu J~*zz,Progressive Electronic,,,,,,,
4,Third Stream,Post-M~*nimalism,Jazz,Modern Classical,,,,,
4,Third Stream,Post-M~*nimalism,Jazz,Modern Classical,,,,,
6,Shoegaze,Dream P0p,Alt Rock,Space Rock,Psychedelic Rock,N0ise Rock,,,
3,Dream P0p,Indie Pop,Alt Rock,,,,,,
5,F0lktronica,IDM,Trip Hop,Downtempo,Electronic,,,,
2,F0lktronica,Electronic,,,,,,,
2,J~*zz-Rock,Bl~*es Rock,,,,,,,
3,Pop Soul,Blue-Eyed S0ul,R&B,,,,,,
4,Dance-Pop,F~*nky House,Garage House,EDM,,,,,
2,D~*sco Rap,East Coast Hip Hop,,,,,,,
4,J~*zz Rap,UK Hip Hop,Boom Bap,Hardcore Hip Hop,,,,,
4,Slowcore,Indie Rock,Alt Rock,Dream P0p,,,,,
6,Comedy Rap,P0p Rap,Hip Hop,Musical Parody,Novelty,Musical Comedy,,,
4,No Wave,Post-Punk,Exp~*rimental Rock,N0ise Rock,,,,,
4,No Wave,Post-Punk,Exp~*rimental Rock,Post-Rock,,,,,
5,Indietronica,Indie Pop,P0p Rap,Hip Hop,Electronic,,,,
3,Alt Rock,Art Pop,J~*zz-Rock,,,,,,
5,Alt Dance,Alt Rock,Exp~*rimental Hip Hop,Dance-Punk,Post-Punk,,,,
2,P0p Punk,Punk Rock,,,,,,,
3,Modern Classical,Neocl~*ssical New Age,Video Game Soundtrack,,,,,,
3,French House,F~*nky House,EDM,,,,,,
3,Liquid F~*nk,Drum and Bass,EDM,,,,,,
1,S0ul Jazz,,,,,,,,
3,Post-Rock,Nu J~*zz,Electronic,,,,,,
3,M0d Revival,New Wave,Rock,,,,,,
3,Contemporary R&B,P0p Rap,Hip Hop,,,,,,
3,Dream P0p,Alt Rock,Indie Pop,,,,,,
2,P0p Rap,East Coast Hip Hop,,,,,,,
6,P0p Punk,Punk Rock,Power Pop,Pop Rock,Indie Rock,Alt Rock,,,
4,N0ise P0p,Post-Punk,Shoegaze,Alt Rock,,,,,
3,Acid Rock,Psychedelic Rock,Bl~*es Rock,,,,,,
4,Bl~*es Rock,Heavy Psych,Hard Rock,Psychedelic Rock,,,,,
3,P0p Reggae,Jamaican Music,Caribbean Music,,,,,,
3,Emo-P0p,Punk,Alt Rock,,,,,,
2,J~*zz-Rock,Singer/Songwriter,,,,,,,
