Prog Rock,Prog Rock,Rock,,,,,,,,,,191
Progressive Country,Progressive Country,Country,,,,,,,,,,192
Progressive Electronic,Progressive Electronic,Electronic,,,,,,,,,,193
Progressive Metal,Progressive Metal,Metal,,,,,,,,,,194
Progressive Pop,Progressive Pop,Pop,,,,,,,,,,195
Proto-Punk,Proto-Punk,Punk,,,,,,,,,,196
Psybient,Psybient,Electronic,,,,,,,,,,197
Pub Rock,Pub Rock,Rock,,,,,,,,,,198
Rap Rock,Rap Rock,Rock,,,,,,,,,,199
Reductionism,Reductionism,Experimental,,,,,,,,,,200
Rhythm & Blues,Rhythm & Bl–es,R&B,,,,,,,,,,201
Rock & Roll,Rock & Roll,Rock,,,,,,,,,,202
Roots Rock,Roots Rock,Rock,,,,,,,,,,203
Satire,Satire,Descriptor Genres,,,,,,,,,,204
Shibuya-kei,Shibuya-kei,Pop,,,,,,,,,,205
Show Tunes,Show Tunes,Musical Theatre,,,,,,,,,,206
Sketch Comedy,Sketch Comedy,Comedy,,,,,,,,,,207
Sludge Metal,Sludge Metal,Metal,,,,,,,,,,208
Smooth Jazz,Smooth Jazz,Jazz,,,,,,,,,,209
Snap,Snap,Hip Hop,,,,,,,,,,210
Sophisti-Pop,Sophisti-Pop,Pop,,,,,,,,,,211
Soul,Soul,R&B,Top-level,,,,,,,,,212
Soul Blues,S0ul Blues,Blues,,,,,,,,,,213
Soul Jazz,S0ul Jazz,Jazz,,,,,,,,,,214
Sound Collage,Sound Collage,Experimental,,,,,,,,,,215
Soundtrack,Soundtrack,Descriptor Genres,,,,,,,,,,216
South Asian Music,South Asian Music,Regional Music,,,,,,,,,,217
Southeast Asian Music,Southeast Asian Music,Regional Music,,,,,,,,,,218
Southern Hip Hop,Southern Hip Hop,Hip Hop,,,,,,,,,,219
Southern Metal,Southern Metal,Metal,,,,,,,,,,220
Southern Rock,Southern Rock,Rock,,,,,,,,,,221
Space Ambient,Space Ambient,Ambient,,,,,,,,,,222
Spacesynth,Spacesynth,EDM,,,,,,,,,,223
Speed Metal,Speed Metal,Metal,,,,,,,,,,224
Spoken Word,Spoken Word,Descriptor Genres,,,,,,,,,,225
Stoner Metal,Stoner Metal,Metal,,,,,,,,,,226
Sunshine Pop,Sunshine Pop,Pop,,,,,,,,,,227
Surf,Surf,Rock,,,,,,,,,,228
Swing,Sw–ng,Jazz,,,,,,,,,,229
Symphonic Metal,Symphonic Metal,Metal,,,,,,,,,,230
Symphonic Rock,Symphonic Rock,Rock,,,,,,,,,,231
Synthwave,Synthwave,Electronic,,,,,,,,,,232
Tape Music,Tape Music,Experimental,,,,,,,,,,233
Techno,Techno,EDM,,,,,,,,,,234
Teen Pop,Teen Pop,Pop,,,,,,,,,,235
Third Stream,Third Stream,Jazz,,,,,,,,,,236
Third Wave Ska,Third Wave Ska,Ska,,,,,,,,,,237
Thrash Metal,Thrash Metal,Metal,,,,,,,,,,238
Traditional Pop,Traditional Pop,Pop,,,,,,,,,,239
Trance,Trance,EDM,,,,,,,,,,240
Trap (EDM),Trap (EDM),EDM,,,,,,,,,,241
Trap (Hip Hop),Trap (Hip Hop),Hip Hop,,,,,,,,,,242
Tribal Ambient,Tribal Ambient,Ambient,,,,,,,,,,243
Turntable Music,Turntable Music,Experimental,,,,,,,,,,244
Turntablism,Turntablism,Hip Hop,,,,,,,,,,245
UK Bass,UK Bass,EDM,,,,,,,,,,246
UK Garage,UK Garage,EDM,,,,,,,,,,247
UK Hip Hop,UK Hip Hop,Hip Hop,,,,,,,,,,248
Vapor,Vapor,Electronic,,,,,,,,,,249
Vaporwave,Vaporwave,Electronic,Vapor,,,,,,,,,250
Vaudeville Blues,Vaudeville Blues,Blues,,,,,,,,,,251
Vocal Jazz,Vocal Jazz,Jazz,,,,,,,,,,252
West Asian Music,West Asian Music,Regional Music,,,,,,,,,,253
West Coast Hip Hop,West Coast Hip Hop,Hip Hop,,,,,,,,,,254
Western Classical,Western Classical,Classical,,,,,,,,,,255
Wonky,Wonky,EDM,,,,,,,,,,256
Yé-yé,Yé-yé,Pop,,,,,,,,,,257
Traditional Folk,Traditional Folk,Folk,Regional Music,,,,,,,,,258
Punk Rock,Punk Rock,Rock,Punk,,,,,,,,,259
Psychedelic Rock,Psychedelic Rock,Rock,Psych,,,,,,,,,260
Pop Rock,Pop Rock,Pop,Rock,,,,,,,,,261
Psychedelic Folk,Psychedelic Folk,Contemporary Folk,Folk,Psych,Folk,,,,,,,262
Eurodance,Eurodance,EDM,Dance-Pop,Pop,,,,,,,,263
Synthpop,Synthpop,Electronic,Pop,,,,,,,,,264
Pop Soul,Pop Soul,R&B,Pop,Soul,,,,,,,,265
Hardcore Punk,Hardcore Punk,Punk Rock,Punk,,,,,,,,,266
European Folk Music,European Folk Music,Traditional Folk,Folk,,,,,,,,,267
2-Step,2-Step,UK Garage,EDM,,,,,,,,,268
Acid House,Acid House,EDM,House,,,,,,,,,269
Acid Techno,Acid Techno,EDM,Techno,,,,,,,,,270
Acid Trance,Acid Trance,EDM,Trance,,,,,,,,,271
Acidcore,Acidcore,Hardcore (EDM),EDM,,,,,,,,,272
Afro-House,Afro-House,EDM,House,,,,,,,,,273
Alt R&B,Alt R&B,Contemporary R&B,R&B,,,,,,,,,274
Ambient House,Amb–ent House,EDM,House,,,,,,,,,275
Ambient Techno,Amb–ent Techno,EDM,Techno,,,,,,,,,276
Ambient Trance,Amb–ent Trance,EDM,Trance,,,,,,,,,277
American Primitivism,American Primitivism,Contemporary Folk,Folk,,,,,,,,,278
Anti-Folk,Anti-Folk,Contemporary Folk,Folk,,,,,,,,,279
Atlanta Bass,Atlanta Bass,Miami Bass,Hip Hop,,,,,,,,,280
Atmospheric Black Metal,Atmospheric Black Metal,Black Metal,Metal,,,,,,,,,281
Atmospheric Drum and Bass,Atmospheric Drum and Bass,EDM,Drum and Bass,,,,,,,,,282
Atmospheric Sludge Metal,Atmospheric Sludge Metal,Sludge Metal,Metal,,,,,,,,,283
Avant-Folk,Avant-Folk,Contemporary Folk,Folk,,,,,,,,,284
Baggy / Madchester,Baggy / Madchester,Alt Rock,Rock,,,,,,,,,285
Balearic Beat,Balearic Beat,EDM,,,,,,,,,,286
Baroque Music,Baroque Music,Western Classical,Classical,,,,,,,,,287
Bassline,Bassline,UK Garage,EDM,,,,,,,,,288
Bedroom Pop,Bedroom Pop,Indie Pop,Pop,,,,,,,,,289
Berlin School,Berlin School,Progressive Electronic,Electronic,,,,,,,,,290
Big Beat,Big Beat,Breakbeat,EDM,,,,,,,,,291
Black 'n' Roll,Black 'n' Roll,Black Metal,Metal,,,,,,,,,292
Bleep Techno,Bleep Techno,EDM,Techno,,,,,,,,,293
Boom Bap,Boom Bap,Hip Hop,,,,,,,,,,294
Bossa nova,Bossa nova,Brazilian Music,Regional Music,,,,,,,,,295
Breakcore,Breakcore,Hardcore (EDM),EDM,,,,,,,,,296
British Folk Rock,British F0lk Rock,Folk Rock,Rock,,,,,,,,,297
Brostep,Brostep,Dubstep,EDM,,,,,,,,,298
Brutal Death Metal,Brutal Death Metal,Death Metal,Metal,,,,,,,,,299
Carols,Carols,Holiday Music,Descriptor Genres,,,,,,,,,300
Celtic Rock,Celtic Rock,Folk Rock,Rock,,,,,,,,,301
Central African Music,Central African Music,African Music,Regional Music,,,,,,,,,302
