Pure Tag,Edited Version (if appl.) –,I. Parents,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
Indo Jazz,Indo Jazz,Jazz; South Asian Music,Jazz,South Asian Music,Asian Music,Regional Music,,,,,,,,
Ghazal,Ghazal,Asian Music,Asian Music,Regional Music,,,,,,,,,,
Digicore,Digicore,Hip Hop,Hip Hop,,,,,,,,,,,
Frat Rock,Frat Rock,Garage Rock,Garage Rock,Rock,,,,,,,,,,
Melodic House,Melodic House,House,House,EDM,Dance,Electronic,,,,,,,,
Barber Beats,Barber Beats,Vapor; Chillout,Vapor,Chillout,Electronic,,,,,,,,,
Progressive Soul,Progressive Soul,Soul,Soul,R&B,,,,,,,,,,
Birmingham Sound,Birmingham Sound,Industrial Techno,Industrial Techno,Post-Industrial,Techno,EDM,Industrial & Noise,Dance,Electronic,,,,,
Reggae Rock,R3ggae Rock,Rock,Rock,,,,,,,,,,,
East Coast Club,East Coast Club,EDM,EDM,Dance,Electronic,,,,,,,,,
Jersey Club,Jersey Club,East Coast Club,East Coast Club,EDM,Dance,Electronic,,,,,,,,
Indigenous American Music,Indigenous American Music,Regional Music,Regional Music,,,,,,,,,,,
Indigenous North American Music,Indigenous North American Music,Northern American Music,Indigenous American Music,Northern American Music,Regional Music,,,,,,,,,
Orchestral Music,Orchestral Music,Western Classical; Descriptor Genres,Western Classical,Descriptor Genres,,,,,,,,,,
Afropiano,Afropiano,Afrobeats; Amapiano,Afrobeats,Amapiano,Dance-Pop,Pop,House,EDM,Dance,Southern African Music,African Music,Regional Music,Electronic,
Jerk Rap,Jerk Rap,Hyphy,Hyphy,Hip Hop,,,,,,,,,,
Jerk,J3rk,Hip Hop,Hip Hop,,,,,,,,,,,
Funeral Doom Metal,Funeral Doom Metal,Doom Metal,Doom Metal,Metal,Rock,,,,,,,,,
Chicago Drill,Chicago Drill,Drill,Drill,Trap,Hip Hop,,,,,,,,,
Paisley Underground,Paisley Underground,Neo-Psychedelia; Jangle Pop,Neo-Psychedelia,Jangle Pop,Pop Rock,Alternative Rock,,,,,,,,
Boogie Rock,B00gie Rock,Blues Rock,Blues Rock,Rock,,,,,,,,,,
Nintendocore,Nintendocore,Hardcore [Punk],Hardcore [Punk],Punk,Rock,,,,,,,,,
Lo-Fi Hip Hop,Lo-Fi Hip Hop,Hip Hop,Hip Hop,,,,,,,,,,,
Grindcore,Grindcore,Metal; Hardcore [Punk],Metal,Hardcore [Punk],Punk,Rock,,,,,,,,
Noisegrind,Noisegrind,Grindcore,Grindcore,Metal,Hardcore [Punk],Punk,Rock,,,,,,,
Crust Punk,Crust Punk,Hardcore Punk,Hardcore Punk,Punk Rock,Hardcore [Punk],Punk,Rock,,,,,,,
Cocktail Nation,Cocktail Nation,Easy Listening; Scenes & Movements,Easy Listening,Scenes & Movements,,,,,,,,,,
Acid Breaks,Acid Breaks,Breakbeat,Breakbeat,EDM,Dance,Electronic,,,,,,,,
Melodic Techno,Melodic Techno,Techno,Techno,EDM,Dance,Electronic,,,,,,,,
Shimokita-kei,Shimokita-kei,Alternative Rock; Scenes & Movements,Alternative Rock,Rock,Scenes & Movements,,,,,,,,,
Sass,Sass,Hardcore [Punk],Hardcore [Punk],Punk,Rock,,,,,,,,,
Doomgaze,Doomgaze,Post-Metal,Post-Metal,Metal,Rock,,,,,,,,,
Gothic Metal,Gothic Metal,Metal,Metal,Rock,,,,,,,,,,
Deathrock,Deathrock,Punk Rock; Gothic Rock,Punk Rock,Gothic Rock,Post-Punk,Punk,Rock,,,,,,,
Hardgroove Techno,Hardgroove Techno,Techno,Techno,EDM,Dance,Electronic,,,,,,,,
Hymns,Hymns,Descriptor Genres,Descriptor Genres,,,,,,,,,,,
Digital Cumbia,Digital Cumbia,Latin Electronic; EDM; Cumbia,Latin Electronic,EDM,Cumbia,Hispanic American Music,Hispanic Music,Regional Music,Dance,Electronic,,,,
Skacore,Skacore,Ska Punk; Hardcore Punk,Ska Punk,Hardcore Punk,Third Wave Ska,Ska,Punk Rock,Reggae / Ska / Dancehall,Hardcore [Punk],Punk,Rock,,,
Pigfuck,Pigfuck,Noise Rock; Punk,Noise Rock,Rock,Punk,,,,,,,,,
Pop Screamo,P0p Scr3amo,Emo; Post-Hardcore,Emo,Post-Hardcore,Punk,Hardcore [Punk],Rock,,,,,,,
Doujin Music,Doujin Music,Scenes & Movements,Scenes & Movements,,,,,,,,,,,
Palm Desert Scene,Palm Desert Scene,Scenes & Movements; Rock,Scenes & Movements,Rock,,,,,,,,,,
Straight Edge,Straight Edge,Hardcore [Punk]; Scenes & Movements,Hardcore [Punk],Scenes & Movements,Punk,Rock,,,,,,,,
Scam Rap,Scam Rap,Gangsta Rap,Gangsta Rap,Hardcore Hip Hop,,,,,,,,,,
Japanese Idol,Japanese Idol,Scenes & Movements,Scenes & Movements,,,,,,,,,,,
Chicago School,Chicago School,Post-Rock; Scenes & Movements,Post-Rock,Rock,Scenes & Movements,,,,,,,,,
Greenwich Village Scene,Greenwich Village Scene,Contemporary Folk; Scenes & Movements,Contemporary Folk,Folk,Scenes & Movements,,,,,,,,,
Louisville Sound,Louisville Sound,Scenes & Movements,Scenes & Movements,,,,,,,,,,,
NOLA Sludge,NOLA Sludge,Sludge Metal; Scenes & Movements,Sludge Metal,Metal,Scenes & Movements,Rock,,,,,,,,
New Weird America,New Weird America,Scenes & Movements,Scenes & Movements,,,,,,,,,,,
Dolewave,Dolewave,Indie Rock; Jangle Pop; Scenes & Movements,Indie Rock,Jangle Pop,Alternative Rock,Pop Rock,Pop,Rock,Scenes & Movements,,,,,
Burning Spirits,Burning Spirits,Japanese Hardcore,Japanese Hardcore,Punk Rock,Hardcore Punk,Punk,Rock,,,,,,,
Arabic Pop,Arabic Pop,Arabic Music; Pop,Arabic Music,Regional Music,Pop,,,,,,,,,
Lullabies,Lullabies,Descriptor Genres,Descriptor Genres,,,,,,,,,,,
Windmill Scene,Windmill Scene,Scenes & Movements,Scenes & Movements,,,,,,,,,,,
Hoboken Sound,Hoboken Sound,Scenes & Movements,Scenes & Movements,,,,,,,,,,,
Hauntology,Hauntology,Scenes & Movements,Scenes & Movements,,,,,,,,,,,
Digital Fusion,Digital Fusion,Electronic,Electronic,,,,,,,,,,,
16-bit,16-bit,Sequencer & Tracker,Sequencer & Tracker,Bit Music,Electronic,,,,,,,,,
Southeastern Brazilian Music,Southeastern Brazilian Music,Brazilian Music,Brazilian Music,South American Music,Regional Music,,,,,,,,,
Clube da esquina,Clube da esquina,MPB; Southeastern Brazilian Music; Scenes & Movements,MPB,Southeastern Brazilian Music,Brazilian Music,South American Music,Regional Music,Scenes & Movements,,,,,,
Mall Screamo,Mall Scream0,Emo; Post-Hardcore; Alternative Rock,Emo,Punk,Post-Hardcore,Hardcore [Punk],Rock,Alternative Rock,,,,,,
